"","RIP_Class","State","OverallProtection_Len_m","Total_Length_m","IN"
"442","Class 4","Alabama",367712.46,740159.82,"Tennessee"
"443","Unprotected","Alabama",0,9312420.1,"Tennessee"
"444","Class 3","Arkansas",19975.33,24835.27,"Tennessee"
"445","Class 4","Arkansas",3935.47,3935.47,"Tennessee"
"446","Unprotected","Arkansas",0,227243.84,"Tennessee"
"447","Class 1","Georgia",42096.54,42096.54,"Tennessee"
"448","Class 2","Georgia",222034.41,223915.18,"Tennessee"
"449","Class 3","Georgia",218907.94,259608.52,"Tennessee"
"450","Class 4","Georgia",1263830.66,1356309.49,"Tennessee"
"451","Unprotected","Georgia",0,955102.13,"Tennessee"
"452","Class 3","Illinois",2280,6182.02,"Tennessee"
"453","Class 4","Illinois",130.36,562.31,"Tennessee"
"454","Unprotected","Illinois",0,4126.96,"Tennessee"
"455","Class 1","Kentucky",91936.74,91936.74,"Tennessee"
"456","Class 2","Kentucky",1584764.5,1585894.13,"Tennessee"
"457","Class 3","Kentucky",218807.89,327043.48,"Tennessee"
"458","Class 4","Kentucky",7295765.23,7765233.33,"Tennessee"
"459","Unprotected","Kentucky",0,2822194.78,"Tennessee"
"460","Class 3","Mississippi",111105.85,187813.37,"Tennessee"
"461","Class 4","Mississippi",68502.28,138518,"Tennessee"
"462","Unprotected","Mississippi",0,3487000.43,"Tennessee"
"463","Class 3","Missouri",33547.22,54721.32,"Tennessee"
"464","Class 4","Missouri",53.87,79.58,"Tennessee"
"465","Unprotected","Missouri",0,125022.77,"Tennessee"
"466","Class 2","North Carolina",2315208.28,2347433.96,"Tennessee"
"467","Class 3","North Carolina",493095.67,625927.28,"Tennessee"
"468","Class 4","North Carolina",1906025.19,3024554.4,"Tennessee"
"469","Unprotected","North Carolina",0,4551275.92,"Tennessee"
"470","Class 3","South Carolina",1732.96,2206.05,"Tennessee"
"471","Class 4","South Carolina",4579.65,8034.05,"Tennessee"
"472","Unprotected","South Carolina",0,1809.98,"Tennessee"
"473","Class 1","Virginia",26248.7,26248.7,"Tennessee"
"474","Class 2","Virginia",210054.73,220492.97,"Tennessee"
"475","Class 3","Virginia",873343.38,1325085.43,"Tennessee"
"476","Class 4","Virginia",863450.19,1165475.72,"Tennessee"
"477","Unprotected","Virginia",0,4477743.56,"Tennessee"
"478","Class 1","Tennessee",1260793.82,1260793.82,"Tennessee"
"479","Class 2","Tennessee",1479424.39,1711019.2,"Tennessee"
"480","Class 3","Tennessee",8864473.53,13234001.06,"Tennessee"
"481","Class 4","Tennessee",976963.61,1836696.46,"Tennessee"
"482","Unprotected","Tennessee",0,80134420.94,"Tennessee"
"483","Class 3","Alabama",972312.85,1588818.79,"Mississippi"
"484","Class 4","Alabama",442265.1,880995.31,"Mississippi"
"485","Unprotected","Alabama",0,16543987.16,"Mississippi"
"486","Class 2","Arkansas",1394.2,1394.2,"Mississippi"
"487","Class 3","Arkansas",40923.78,73179.33,"Mississippi"
"488","Class 4","Arkansas",50383.95,58363.72,"Mississippi"
"489","Unprotected","Arkansas",0,594594.29,"Mississippi"
"490","Unprotected","Georgia",0,33740.87,"Mississippi"
"491","Class 3","Illinois",2280,6182.02,"Mississippi"
"492","Class 4","Illinois",130.36,562.31,"Mississippi"
"493","Unprotected","Illinois",0,4126.96,"Mississippi"
"494","Class 2","Kentucky",12424.46,12424.46,"Mississippi"
"495","Class 3","Kentucky",49968.93,62788.26,"Mississippi"
"496","Class 4","Kentucky",110779.94,120424.01,"Mississippi"
"497","Unprotected","Kentucky",0,159289.65,"Mississippi"
"498","Class 2","Louisiana",331927.54,339392.72,"Mississippi"
"499","Class 3","Louisiana",362881.19,467820.17,"Mississippi"
"500","Class 4","Louisiana",280993.63,336980.73,"Mississippi"
"501","Unprotected","Louisiana",0,2157472.81,"Mississippi"
"502","Class 3","Missouri",33547.22,54721.32,"Mississippi"
"503","Class 4","Missouri",53.87,79.58,"Mississippi"
"504","Unprotected","Missouri",0,125022.77,"Mississippi"
"505","Class 2","Tennessee",1117.84,1117.84,"Mississippi"
"506","Class 3","Tennessee",716739.03,1069531.77,"Mississippi"
"507","Class 4","Tennessee",104898.79,231279.23,"Mississippi"
"508","Unprotected","Tennessee",0,8393982.49,"Mississippi"
"509","Class 1","Mississippi",35180.63,35180.63,"Mississippi"
"510","Class 2","Mississippi",49674.87,52857.7,"Mississippi"
"511","Class 3","Mississippi",7232844.38,10377068.58,"Mississippi"
"512","Class 4","Mississippi",7674359.61,14125418.82,"Mississippi"
"513","Unprotected","Mississippi",0,105315711.65,"Mississippi"
"514","Class 2","Iowa",183688.6,183688.6,"Minnesota"
"515","Class 3","Iowa",179563.52,395708.4,"Minnesota"
"516","Class 4","Iowa",19724.85,45707.35,"Minnesota"
"517","Unprotected","Iowa",0,1863358.04,"Minnesota"
"518","Class 1","North Dakota",1369629.46,1369629.46,"Minnesota"
"519","Class 3","North Dakota",419094.14,1151344.73,"Minnesota"
"520","Class 4","North Dakota",406886.8,591507.27,"Minnesota"
"521","Unprotected","North Dakota",0,8814682.14,"Minnesota"
"522","Class 3","South Dakota",92421.84,338129.74,"Minnesota"
"523","Class 4","South Dakota",48378.06,148576.42,"Minnesota"
"524","Unprotected","South Dakota",0,4671816.92,"Minnesota"
"525","Class 1","Wisconsin",708412.49,708412.49,"Minnesota"
"526","Class 2","Wisconsin",919630.7,919630.7,"Minnesota"
"527","Class 3","Wisconsin",508583.38,660913.1,"Minnesota"
"528","Class 4","Wisconsin",7061041.4,7641403.54,"Minnesota"
"529","Unprotected","Wisconsin",0,5505640.68,"Minnesota"
"530","Class 1","Minnesota",94717.67,94717.67,"Minnesota"
"531","Class 2","Minnesota",3118320.17,3118344.43,"Minnesota"
"532","Class 3","Minnesota",5808100.56,9161700.69,"Minnesota"
"533","Class 4","Minnesota",62759184.02,71926696.4,"Minnesota"
"534","Unprotected","Minnesota",0,22445067.19,"Minnesota"
"535","Class 2","Illinois",5650.79,19778.2,"Wisconsin"
"536","Class 3","Illinois",18461.06,45379.86,"Wisconsin"
"537","Class 4","Illinois",1806.26,6432.62,"Wisconsin"
"538","Unprotected","Illinois",0,463702.68,"Wisconsin"
"539","Class 2","Iowa",263593.2,263593.2,"Wisconsin"
"540","Class 3","Iowa",538319.22,1027260.02,"Wisconsin"
"541","Class 4","Iowa",76724.85,145648.57,"Wisconsin"
"542","Unprotected","Iowa",0,6968681.9,"Wisconsin"
"543","Class 1","Michigan",11920.61,11920.61,"Wisconsin"
"544","Class 2","Michigan",16213.32,23158.12,"Wisconsin"
"545","Class 3","Michigan",809802.01,1272785.17,"Wisconsin"
"546","Class 4","Michigan",223374.66,344493.12,"Wisconsin"
"547","Unprotected","Michigan",0,1415352.22,"Wisconsin"
"548","Class 1","Minnesota",94717.67,94717.67,"Wisconsin"
"549","Class 2","Minnesota",183940.08,183940.08,"Wisconsin"
"550","Class 3","Minnesota",795838.13,1218185.78,"Wisconsin"
"551","Class 4","Minnesota",9870547.3,11749341.56,"Wisconsin"
"552","Unprotected","Minnesota",0,4923819.74,"Wisconsin"
"553","Class 1","Wisconsin",4341395.04,4341395.04,"Wisconsin"
"554","Class 2","Wisconsin",6443095.17,6447136.45,"Wisconsin"
"555","Class 3","Wisconsin",2970306.66,4515047.69,"Wisconsin"
"556","Class 4","Wisconsin",40017143.96,42756681.73,"Wisconsin"
"557","Unprotected","Wisconsin",0,32512579.18,"Wisconsin"
"558","Class 2","Indiana",28561.37,28561.37,"Michigan"
"559","Class 3","Indiana",85119.03,197076.36,"Michigan"
"560","Class 4","Indiana",6708.16,29845.31,"Michigan"
"561","Unprotected","Indiana",0,2003473.34,"Michigan"
"562","Unprotected","Ohio",0,77003.99,"Michigan"
"563","Class 1","Wisconsin",779773.51,779773.51,"Michigan"
"564","Class 2","Wisconsin",259132.51,259132.51,"Michigan"
"565","Class 3","Wisconsin",62239.37,68018.75,"Michigan"
"566","Class 4","Wisconsin",1085184.65,1117901.24,"Michigan"
"567","Unprotected","Wisconsin",0,83649.98,"Michigan"
"568","Class 1","Michigan",540457.81,540457.81,"Michigan"
"569","Class 2","Michigan",471318.57,498298.09,"Michigan"
"570","Class 3","Michigan",10161960.77,16934035.63,"Michigan"
"571","Class 4","Michigan",5638922.93,9551415.84,"Michigan"
"572","Unprotected","Michigan",0,53814190.48,"Michigan"
"573","Class 1","Illinois",26619.59,26619.59,"Indiana"
"574","Class 2","Illinois",59338,131837.87,"Indiana"
"575","Class 3","Illinois",954618.39,1588365.57,"Indiana"
"576","Class 4","Illinois",63513.84,201606.92,"Indiana"
"577","Unprotected","Illinois",0,15261954.63,"Indiana"
"578","Class 2","Kentucky",319947.65,319947.65,"Indiana"
"579","Class 3","Kentucky",83037.76,111735.58,"Indiana"
"580","Class 4","Kentucky",7299385.78,7654975.24,"Indiana"
"581","Unprotected","Kentucky",0,2168954.33,"Indiana"
"582","Class 3","Michigan",60003.39,176703.63,"Indiana"
"583","Class 4","Michigan",15814.94,85794.53,"Indiana"
"584","Unprotected","Michigan",0,2828081.54,"Indiana"
"585","Class 1","Ohio",29104.22,29104.22,"Indiana"
"586","Class 2","Ohio",444481.77,444481.77,"Indiana"
"587","Class 3","Ohio",591789.01,1201120.35,"Indiana"
"588","Class 4","Ohio",39710.19,138672.77,"Indiana"
"589","Unprotected","Ohio",0,15433977.33,"Indiana"
"590","Class 2","Indiana",805456.4,824826.8,"Indiana"
"591","Class 3","Indiana",1462800.05,3659915.06,"Indiana"
"592","Class 4","Indiana",859927.86,2062678.8,"Indiana"
"593","Unprotected","Indiana",0,40320134.74,"Indiana"
"594","Class 2","Indiana",364396.27,364396.27,"Illinois"
"595","Class 3","Indiana",868157.6,1934631.17,"Illinois"
"596","Class 4","Indiana",146939.77,386812.56,"Illinois"
"597","Unprotected","Indiana",0,19243743.01,"Illinois"
"598","Class 2","Iowa",369742.8,369742.8,"Illinois"
"599","Class 3","Iowa",1207172.43,2685313.18,"Illinois"
"600","Class 4","Iowa",44375.48,96283.72,"Illinois"
"601","Unprotected","Iowa",0,25779321.22,"Illinois"
"602","Class 2","Kentucky",142168.81,142168.81,"Illinois"
"603","Class 3","Kentucky",123312.71,163639.19,"Illinois"
"604","Class 4","Kentucky",2944198.39,3403433.05,"Illinois"
"605","Unprotected","Kentucky",0,1668435,"Illinois"
"606","Class 4","Minnesota",7611.4,8387.54,"Illinois"
"607","Unprotected","Minnesota",0,15452.79,"Illinois"
"608","Class 1","Missouri",86710.46,86710.46,"Illinois"
"609","Class 3","Missouri",1302778.45,2589387.26,"Illinois"
"610","Class 4","Missouri",1028429.18,1830107.89,"Illinois"
"611","Unprotected","Missouri",0,32383205.61,"Illinois"
"612","Class 3","Ohio",864.13,5544.74,"Illinois"
"613","Unprotected","Ohio",0,760387.07,"Illinois"
"614","Class 1","Wisconsin",5415.11,5415.11,"Illinois"
"615","Class 2","Wisconsin",602472.14,604454.98,"Illinois"
"616","Class 3","Wisconsin",700593.79,1157520.27,"Illinois"
"617","Class 4","Wisconsin",6121307.09,6577759.22,"Illinois"
"618","Unprotected","Wisconsin",0,6130437.16,"Illinois"
"619","Class 1","Illinois",26619.59,26619.59,"Illinois"
"620","Class 2","Illinois",2075199.39,5088706.28,"Illinois"
"621","Class 3","Illinois",4386816.41,7721634.29,"Illinois"
"622","Class 4","Illinois",1968349.03,3415354.64,"Illinois"
"623","Unprotected","Illinois",0,97175252.37,"Illinois"
"624","Class 2","Indiana",66219.15,67976.03,"Ohio"
"625","Class 3","Indiana",42396.74,178886.47,"Ohio"
"626","Class 4","Indiana",25314.79,94276.82,"Ohio"
"627","Unprotected","Indiana",0,4267095.55,"Ohio"
"628","Class 2","Kentucky",138207.3,138207.3,"Ohio"
"629","Class 3","Kentucky",17846.87,26992.73,"Ohio"
"630","Class 4","Kentucky",3168527.05,3267143.57,"Ohio"
"631","Unprotected","Kentucky",0,1065468.6,"Ohio"
"632","Class 3","Michigan",32370.01,118897.87,"Ohio"
"633","Class 4","Michigan",3419.57,23687.99,"Ohio"
"634","Unprotected","Michigan",0,664949.27,"Ohio"
"635","Class 1","Pennsylvania",9391.8,9391.8,"Ohio"
"636","Class 3","Pennsylvania",179988.72,396604.97,"Ohio"
"637","Class 4","Pennsylvania",961386.41,1148545.72,"Ohio"
"638","Unprotected","Pennsylvania",0,5174814.11,"Ohio"
"639","Class 1","West Virginia",11671.14,11671.14,"Ohio"
"640","Class 2","West Virginia",678.37,678.37,"Ohio"
"641","Class 3","West Virginia",922618.47,1466595.87,"Ohio"
"642","Class 4","West Virginia",49977.45,70556.91,"Ohio"
"643","Unprotected","West Virginia",0,10582966.1,"Ohio"
"644","Class 1","Ohio",214059.63,214059.63,"Ohio"
"645","Class 2","Ohio",2052172.72,2159343.37,"Ohio"
"646","Class 3","Ohio",3067237.65,6573506.33,"Ohio"
"647","Class 4","Ohio",1372468.4,2735189.54,"Ohio"
"648","Unprotected","Ohio",0,79884277.11,"Ohio"
"649","Class 2","Illinois",140312.93,184092.94,"Kentucky"
"650","Class 3","Illinois",339665.52,495784.81,"Kentucky"
"651","Class 4","Illinois",1014412.9,1511066.37,"Kentucky"
"652","Unprotected","Illinois",0,3514177.12,"Kentucky"
"653","Class 2","Indiana",140042.22,140042.22,"Kentucky"
"654","Class 3","Indiana",120028.44,259009.66,"Kentucky"
"655","Class 4","Indiana",275870.27,550194.4,"Kentucky"
"656","Unprotected","Indiana",0,4141564.07,"Kentucky"
"657","Unprotected","Mississippi",0,124702.07,"Kentucky"
"658","Class 4","Missouri",53.87,79.58,"Kentucky"
"659","Unprotected","Missouri",0,41132.14,"Kentucky"
"660","Class 1","Ohio",29104.22,29104.22,"Kentucky"
"661","Class 2","Ohio",179989.89,179989.89,"Kentucky"
"662","Class 3","Ohio",793047.03,1337323.99,"Kentucky"
"663","Class 4","Ohio",480319.14,814572.2,"Kentucky"
"664","Unprotected","Ohio",0,9410210.07,"Kentucky"
"665","Class 1","Tennessee",417226.77,417226.77,"Kentucky"
"666","Class 2","Tennessee",120450.11,120450.11,"Kentucky"
"667","Class 3","Tennessee",2547064.61,3784927.03,"Kentucky"
"668","Class 4","Tennessee",292328.14,569144.29,"Kentucky"
"669","Unprotected","Tennessee",0,27568909.64,"Kentucky"
"670","Class 2","Virginia",72781.29,72781.29,"Kentucky"
"671","Class 3","Virginia",170208.82,219139.58,"Kentucky"
"672","Class 4","Virginia",587118.57,831077.18,"Kentucky"
"673","Unprotected","Virginia",0,1128900.18,"Kentucky"
"674","Class 1","West Virginia",2879.84,2879.84,"Kentucky"
"675","Class 2","West Virginia",17502.89,17502.89,"Kentucky"
"676","Class 3","West Virginia",426567.05,622924.96,"Kentucky"
"677","Class 4","West Virginia",34028.82,49568.36,"Kentucky"
"678","Unprotected","West Virginia",0,2652533.78,"Kentucky"
"679","Class 1","Kentucky",206349.9,206349.9,"Kentucky"
"680","Class 2","Kentucky",4765041.79,4772798.13,"Kentucky"
"681","Class 3","Kentucky",1222544.98,1770394.73,"Kentucky"
"682","Class 4","Kentucky",47205827.94,50374588,"Kentucky"
"683","Unprotected","Kentucky",0,19760292.69,"Kentucky"
"684","Class 3","Iowa",153481.67,345909.39,"South Dakota"
"685","Class 4","Iowa",3687.71,15928.61,"South Dakota"
"686","Unprotected","Iowa",0,2346504.36,"South Dakota"
"687","Class 3","Minnesota",1041044.14,1557961.53,"South Dakota"
"688","Class 4","Minnesota",1815937.97,2360790.85,"South Dakota"
"689","Unprotected","Minnesota",0,1523656.6,"South Dakota"
"690","Class 4","Montana",795029.97,2047209.9,"South Dakota"
"691","Unprotected","Montana",0,2897656.14,"South Dakota"
"692","Class 2","Nebraska",119701.74,125418.24,"South Dakota"
"693","Class 3","Nebraska",111159.42,260939.98,"South Dakota"
"694","Class 4","Nebraska",342707.82,675228.41,"South Dakota"
"695","Unprotected","Nebraska",0,7485912.71,"South Dakota"
"696","Class 3","North Dakota",616605.09,1697777.12,"South Dakota"
"697","Class 4","North Dakota",733103.84,2162875.49,"South Dakota"
"698","Unprotected","North Dakota",0,19144305.65,"South Dakota"
"699","Class 2","Wyoming",37535.64,37535.64,"South Dakota"
"700","Class 3","Wyoming",39372.65,72218.77,"South Dakota"
"701","Class 4","Wyoming",5615050.34,11118301.4,"South Dakota"
"702","Unprotected","Wyoming",0,16332617.09,"South Dakota"
"703","Class 2","South Dakota",563976.06,641205.25,"South Dakota"
"704","Class 3","South Dakota",3037210.09,7310140.4,"South Dakota"
"705","Class 4","South Dakota",12566001.71,21463675.18,"South Dakota"
"706","Unprotected","South Dakota",0,130853566.06,"South Dakota"
"707","Class 2","Illinois",50722.97,108790.3,"Iowa"
"708","Class 3","Illinois",349580.53,521589.96,"Iowa"
"709","Class 4","Illinois",10902.71,24418.45,"Iowa"
"710","Unprotected","Illinois",0,6279459.49,"Iowa"
"711","Class 3","Minnesota",1370029.98,2089468.47,"Iowa"
"712","Class 4","Minnesota",3521308.82,4521441.15,"Iowa"
"713","Unprotected","Minnesota",0,2738729.55,"Iowa"
"714","Class 3","Missouri",12491.21,39219.47,"Iowa"
"715","Class 4","Missouri",3297.98,10670.86,"Iowa"
"716","Unprotected","Missouri",0,935472.67,"Iowa"
"717","Class 3","Nebraska",124523.95,280808.14,"Iowa"
"718","Class 4","Nebraska",6198.39,11084.16,"Iowa"
"719","Unprotected","Nebraska",0,2196072.19,"Iowa"
"720","Class 3","South Dakota",357975.71,1099456.73,"Iowa"
"721","Class 4","South Dakota",76763.78,239122.96,"Iowa"
"722","Unprotected","South Dakota",0,7806767.4,"Iowa"
"723","Class 1","Wisconsin",32876.81,32876.81,"Iowa"
"724","Class 2","Wisconsin",214262.83,214262.83,"Iowa"
"725","Class 3","Wisconsin",226053.44,258945.48,"Iowa"
"726","Class 4","Wisconsin",1387226.11,1551301.59,"Iowa"
"727","Unprotected","Wisconsin",0,2210093.83,"Iowa"
"728","Class 2","Iowa",781401.03,784297.65,"Iowa"
"729","Class 3","Iowa",5122315.43,11168248.04,"Iowa"
"730","Class 4","Iowa",510659.09,1032612.75,"Iowa"
"731","Unprotected","Iowa",0,100383020.35,"Iowa"
"732","Class 2","Arkansas",158224.11,159854.93,"Missouri"
"733","Class 3","Arkansas",106862.92,217626.43,"Missouri"
"734","Class 4","Arkansas",184189.02,273956.64,"Missouri"
"735","Unprotected","Arkansas",0,6528430.89,"Missouri"
"736","Class 2","Illinois",120996.06,231314.34,"Missouri"
"737","Class 3","Illinois",706652,1237441.55,"Missouri"
"738","Class 4","Illinois",389012.39,647900.85,"Missouri"
"739","Unprotected","Illinois",0,12011892.63,"Missouri"
"740","Class 2","Iowa",69660.36,69660.36,"Missouri"
"741","Class 3","Iowa",2160484.01,4318333.17,"Missouri"
"742","Class 4","Iowa",237580.86,465744.75,"Missouri"
"743","Unprotected","Iowa",0,36677023.06,"Missouri"
"744","Class 2","Kansas",208751.87,208751.87,"Missouri"
"745","Class 3","Kansas",134531.94,324761.37,"Missouri"
"746","Class 4","Kansas",14089.94,41160.48,"Missouri"
"747","Unprotected","Kansas",0,13680160.11,"Missouri"
"748","Class 2","Kentucky",12424.46,12424.46,"Missouri"
"749","Class 3","Kentucky",49968.93,62788.26,"Missouri"
"750","Class 4","Kentucky",110779.94,120424.01,"Missouri"
"751","Unprotected","Kentucky",0,159289.65,"Missouri"
"752","Class 3","Minnesota",159265.2,307050.44,"Missouri"
"753","Class 4","Minnesota",1274184.14,1545718.47,"Missouri"
"754","Unprotected","Minnesota",0,479199.27,"Missouri"
"755","Class 3","Nebraska",78387.04,264567.71,"Missouri"
"756","Class 4","Nebraska",1425.89,5865.58,"Missouri"
"757","Unprotected","Nebraska",0,3477892.59,"Missouri"
"758","Class 3","Oklahoma",134.46,2103.92,"Missouri"
"759","Unprotected","Oklahoma",0,11518.4,"Missouri"
"760","Class 3","Tennessee",20987.38,24201.59,"Missouri"
"761","Unprotected","Tennessee",0,135844.63,"Missouri"
"762","Class 1","Missouri",411574.56,411574.56,"Missouri"
"763","Class 2","Missouri",673571.91,923700.08,"Missouri"
"764","Class 3","Missouri",7724252.56,14913568.5,"Missouri"
"765","Class 4","Missouri",6116071.1,9973534.47,"Missouri"
"766","Unprotected","Missouri",0,134604231.26,"Missouri"
"767","Class 2","Arkansas",644251.32,644251.32,"Louisiana"
"768","Class 3","Arkansas",1110496.1,1922954.93,"Louisiana"
"769","Class 4","Arkansas",89172.28,163209.45,"Louisiana"
"770","Unprotected","Arkansas",0,26961806.57,"Louisiana"
"771","Class 2","Mississippi",10523.09,10523.09,"Louisiana"
"772","Class 3","Mississippi",1131647.65,1511054.64,"Louisiana"
"773","Class 4","Mississippi",1226121.29,2645914.45,"Louisiana"
"774","Unprotected","Mississippi",0,24641569.78,"Louisiana"
"775","Class 2","Texas",22954.2,24797.03,"Louisiana"
"776","Class 3","Texas",176867.23,327608.8,"Louisiana"
"777","Class 4","Texas",294920.62,567167.67,"Louisiana"
"778","Unprotected","Texas",0,12085735.81,"Louisiana"
"779","Class 1","Louisiana",31163.85,31163.85,"Louisiana"
"780","Class 2","Louisiana",3785096.02,3798265.77,"Louisiana"
"781","Class 3","Louisiana",4369878.11,7113194.12,"Louisiana"
"782","Class 4","Louisiana",5015589.08,6899906.09,"Louisiana"
"783","Unprotected","Louisiana",0,64064602.07,"Louisiana"
"784","Class 3","Illinois",2280,6182.02,"Arkansas"
"785","Class 4","Illinois",130.36,562.31,"Arkansas"
"786","Unprotected","Illinois",0,4126.96,"Arkansas"
"787","Class 2","Kentucky",12424.46,12424.46,"Arkansas"
"788","Class 3","Kentucky",49968.93,62788.26,"Arkansas"
"789","Class 4","Kentucky",110779.94,120424.01,"Arkansas"
"790","Unprotected","Kentucky",0,159289.65,"Arkansas"
"791","Class 2","Louisiana",25198.61,25198.61,"Arkansas"
"792","Class 3","Louisiana",64771.26,99679.26,"Arkansas"
"793","Unprotected","Louisiana",0,493041.52,"Arkansas"
"794","Class 3","Mississippi",9150.04,17860.8,"Arkansas"
"795","Class 4","Mississippi",23998.81,49168.37,"Arkansas"
"796","Unprotected","Mississippi",0,411132.76,"Arkansas"
"797","Class 1","Missouri",199218.18,199218.18,"Arkansas"
"798","Class 2","Missouri",621438.48,865693.79,"Arkansas"
"799","Class 3","Missouri",2398246.97,4127048,"Arkansas"
"800","Class 4","Missouri",3949906.31,6043714.64,"Arkansas"
"801","Unprotected","Missouri",0,25001171.26,"Arkansas"
"802","Class 1","Oklahoma",602487.82,602487.82,"Arkansas"
"803","Class 2","Oklahoma",131568.83,132824.86,"Arkansas"
"804","Class 3","Oklahoma",1791768.29,2736292.63,"Arkansas"
"805","Class 4","Oklahoma",1110313.15,1663065.18,"Arkansas"
"806","Unprotected","Oklahoma",0,24127032.7,"Arkansas"
"807","Class 2","Tennessee",1117.84,1117.84,"Arkansas"
"808","Class 3","Tennessee",220227.18,289046.58,"Arkansas"
"809","Class 4","Tennessee",13573.63,17060.66,"Arkansas"
"810","Unprotected","Tennessee",0,568560.7,"Arkansas"
"811","Class 3","Texas",232941.5,729247.3,"Arkansas"
"812","Class 4","Texas",50572.83,89981.04,"Arkansas"
"813","Unprotected","Texas",0,6925761.21,"Arkansas"
"814","Class 1","Arkansas",261728.04,261728.04,"Arkansas"
"815","Class 2","Arkansas",3504491.72,3534011.84,"Arkansas"
"816","Class 3","Arkansas",8582745.71,12579160.92,"Arkansas"
"817","Class 4","Arkansas",8275142.71,11041135.79,"Arkansas"
"818","Unprotected","Arkansas",0,108402120.13,"Arkansas"
"819","Class 2","Minnesota",8873.97,8878.5,"North Dakota"
"820","Class 3","Minnesota",840864.04,1371046.51,"North Dakota"
"821","Class 4","Minnesota",10179906.92,11686307.11,"North Dakota"
"822","Unprotected","Minnesota",0,4895118.14,"North Dakota"
"823","Class 2","Montana",218550.64,260493.79,"North Dakota"
"824","Class 3","Montana",219990.27,401632.52,"North Dakota"
"825","Class 4","Montana",11125412.46,24651781.37,"North Dakota"
"826","Unprotected","Montana",0,22412649.43,"North Dakota"
"827","Class 3","South Dakota",55735.74,157892.55,"North Dakota"
"828","Class 4","South Dakota",562159.06,1104346.22,"North Dakota"
"829","Unprotected","South Dakota",0,3887785.95,"North Dakota"
"830","Class 4","Wyoming",174864.56,417878.74,"North Dakota"
"831","Unprotected","Wyoming",0,1095913.16,"North Dakota"
"832","Class 1","North Dakota",1695592.34,1695592.34,"North Dakota"
"833","Class 2","North Dakota",756052.15,767697.55,"North Dakota"
"834","Class 3","North Dakota",2327120.35,5885023.29,"North Dakota"
"835","Class 4","North Dakota",7681343.2,14328986.21,"North Dakota"
"836","Unprotected","North Dakota",0,75526290.1,"North Dakota"
"837","Class 1","Idaho",8848.23,8848.23,"Montana"
"838","Class 2","Idaho",64267.26,64267.26,"Montana"
"839","Class 3","Idaho",36120.91,36311.48,"Montana"
"840","Class 4","Idaho",432571.61,445109.55,"Montana"
"841","Unprotected","Idaho",0,2852.53,"Montana"
"842","Class 2","North Dakota",24487.85,24487.85,"Montana"
"843","Class 3","North Dakota",2370.74,4739.95,"Montana"
"844","Class 4","North Dakota",880941.9,1197108.22,"Montana"
"845","Unprotected","North Dakota",0,1408748.05,"Montana"
"846","Class 3","South Dakota",7713.46,27129.31,"Montana"
"847","Class 4","South Dakota",400423.53,731562.33,"Montana"
"848","Unprotected","South Dakota",0,1358594.69,"Montana"
"849","Class 1","Wyoming",46573.56,46573.56,"Montana"
"850","Class 2","Wyoming",7847416.52,8086671.06,"Montana"
"851","Class 3","Wyoming",1356802.07,1862749.38,"Montana"
"852","Class 4","Wyoming",11259912.78,20095588.11,"Montana"
"853","Unprotected","Wyoming",0,32916076.42,"Montana"
"854","Class 1","Montana",12743273.33,12743273.33,"Montana"
"855","Class 2","Montana",3163671.63,3231604.22,"Montana"
"856","Class 3","Montana",11615606.5,12984236.68,"Montana"
"857","Class 4","Montana",123799505.44,176753254,"Montana"
"858","Unprotected","Montana",0,70126329.03,"Montana"
"859","Class 1","Montana",7008006.14,7008006.14,"Idaho"
"860","Class 2","Montana",706598.96,706632.13,"Idaho"
"861","Class 3","Montana",5190762.51,5241667.76,"Idaho"
"862","Class 4","Montana",31034411.99,33133130.53,"Idaho"
"863","Unprotected","Montana",0,1163033.9,"Idaho"
"864","Class 2","Nevada",400191.18,471995.57,"Idaho"
"865","Class 3","Nevada",143542,156909.39,"Idaho"
"866","Class 4","Nevada",3136173.93,4829633.68,"Idaho"
"867","Unprotected","Nevada",0,5355123.94,"Idaho"
"868","Class 1","Oregon",636638.75,636638.75,"Idaho"
"869","Class 2","Oregon",4795520.18,5402108.44,"Idaho"
"870","Class 3","Oregon",2207369.67,2440887.82,"Idaho"
"871","Class 4","Oregon",10403690.63,14761804.91,"Idaho"
"872","Unprotected","Oregon",0,15698417.11,"Idaho"
"873","Class 2","Utah",97200.9,104598.78,"Idaho"
"874","Class 3","Utah",81346.33,132505.84,"Idaho"
"875","Class 4","Utah",566180.05,846079.63,"Idaho"
"876","Unprotected","Utah",0,2520412.39,"Idaho"
"877","Class 1","Washington",19181.52,19181.52,"Idaho"
"878","Class 2","Washington",345167.62,345167.62,"Idaho"
"879","Class 3","Washington",242747.02,265958.76,"Idaho"
"880","Class 4","Washington",1267854.47,1425667.59,"Idaho"
"881","Unprotected","Washington",0,370864.54,"Idaho"
"882","Class 1","Wyoming",520095.55,520099.68,"Idaho"
"883","Class 2","Wyoming",3761168.79,3797808.41,"Idaho"
"884","Class 3","Wyoming",551605.29,641356.18,"Idaho"
"885","Class 4","Wyoming",3431797.18,4097194.62,"Idaho"
"886","Unprotected","Wyoming",0,2045476.29,"Idaho"
"887","Class 1","Idaho",1290699.02,1290699.02,"Idaho"
"888","Class 2","Idaho",18673816.37,19318159.12,"Idaho"
"889","Class 3","Idaho",14025965.07,15403002.44,"Idaho"
