"","RIP_Class","State","OverallProtection_Len_m","Total_Length_m","IN"
"88","Class 2","Rhode Island",47169.04,47169.04,"Connecticut"
"89","Class 3","Rhode Island",11827.38,11834.81,"Connecticut"
"90","Class 4","Rhode Island",319159.59,337012.68,"Connecticut"
"91","Unprotected","Rhode Island",0,2988.58,"Connecticut"
"92","Class 1","Vermont",481.31,481.31,"Connecticut"
"93","Class 2","Vermont",24237.02,24237.02,"Connecticut"
"94","Class 3","Vermont",32535.01,38025.61,"Connecticut"
"95","Class 4","Vermont",104349.05,176922.01,"Connecticut"
"96","Unprotected","Vermont",0,229706.79,"Connecticut"
"97","Class 1","Connecticut",96090.1,96090.1,"Connecticut"
"98","Class 2","Connecticut",42191.64,42191.64,"Connecticut"
"99","Class 3","Connecticut",1024975.12,2223281.87,"Connecticut"
"100","Class 4","Connecticut",1187749.93,2633410.66,"Connecticut"
"101","Unprotected","Connecticut",0,4021547.57,"Connecticut"
"102","Class 1","Connecticut",16663.16,16663.16,"Rhode Island"
"103","Class 3","Connecticut",18614.79,26571.95,"Rhode Island"
"104","Class 4","Connecticut",24259.91,44646.09,"Rhode Island"
"105","Unprotected","Connecticut",0,53247.74,"Rhode Island"
"106","Class 1","Massachusetts",41708.05,41708.05,"Rhode Island"
"107","Class 2","Massachusetts",148653.94,148653.94,"Rhode Island"
"108","Class 3","Massachusetts",66114.96,73326.42,"Rhode Island"
"109","Class 4","Massachusetts",1288733.95,1354800.71,"Rhode Island"
"110","Unprotected","Massachusetts",0,68818.36,"Rhode Island"
"111","Class 1","Rhode Island",96555.17,96555.17,"Rhode Island"
"112","Class 2","Rhode Island",148392.97,148392.97,"Rhode Island"
"113","Class 3","Rhode Island",30392.24,37730.96,"Rhode Island"
"114","Class 4","Rhode Island",1232764.39,1330816.16,"Rhode Island"
"115","Unprotected","Rhode Island",0,69357.75,"Rhode Island"
"116","Class 1","Connecticut",23764.8,23764.8,"New York"
"117","Class 3","Connecticut",48591.88,84073.72,"New York"
"118","Class 4","Connecticut",78216.82,162317.47,"New York"
"119","Unprotected","Connecticut",0,142068.48,"New York"
"120","Class 2","Massachusetts",69641.16,69641.16,"New York"
"121","Class 3","Massachusetts",27631.77,27631.77,"New York"
"122","Class 4","Massachusetts",776097.85,799110.95,"New York"
"123","Unprotected","Massachusetts",0,6898.72,"New York"
"124","Class 1","New Jersey",40463.39,40463.39,"New York"
"125","Class 2","New Jersey",16387.8,16761.5,"New York"
"126","Class 3","New Jersey",278043.49,324630.19,"New York"
"127","Class 4","New Jersey",3378322.91,3466596.92,"New York"
"128","Unprotected","New Jersey",0,283816.31,"New York"
"129","Class 1","Pennsylvania",240384.85,240384.85,"New York"
"130","Class 2","Pennsylvania",602.9,602.9,"New York"
"131","Class 3","Pennsylvania",21676.8,47079.45,"New York"
"132","Class 4","Pennsylvania",2658457.23,2924031.49,"New York"
"133","Unprotected","Pennsylvania",0,2930235.07,"New York"
"134","Class 1","Vermont",104205.44,104205.44,"New York"
"135","Class 2","Vermont",100400.15,118386.15,"New York"
"136","Class 3","Vermont",327342.43,589156.23,"New York"
"137","Class 4","Vermont",576007.43,1324641.72,"New York"
"138","Unprotected","Vermont",0,2968607.38,"New York"
"139","Class 1","New York",12718880.39,12718880.39,"New York"
"140","Class 2","New York",1321858.34,2365899.94,"New York"
"141","Class 3","New York",2500185.78,6523869.36,"New York"
"142","Class 4","New York",2288418.98,6110733.1,"New York"
"143","Unprotected","New York",0,54928675.97,"New York"
"144","Class 3","Connecticut",2020.65,5174.74,"New Jersey"
"145","Class 4","Connecticut",613.41,1209.34,"New Jersey"
"146","Unprotected","Connecticut",0,33480.24,"New Jersey"
"147","Class 1","New York",432144.91,432144.91,"New Jersey"
"148","Class 2","New York",16791.35,28901.92,"New Jersey"
"149","Class 3","New York",154427.16,345444.37,"New Jersey"
"150","Class 4","New York",190446.59,539129.91,"New Jersey"
"151","Unprotected","New York",0,3524400.35,"New Jersey"
"152","Class 1","Pennsylvania",976443.81,976443.81,"New Jersey"
"153","Class 2","Pennsylvania",282212.71,286286.74,"New Jersey"
"154","Class 3","Pennsylvania",283153.16,518353.3,"New Jersey"
"155","Class 4","Pennsylvania",3897364.67,4176712.55,"New Jersey"
"156","Unprotected","Pennsylvania",0,3607836.39,"New Jersey"
"157","Class 1","New Jersey",2700681.57,2700681.57,"New Jersey"
"158","Class 2","New Jersey",105247.56,105621.26,"New Jersey"
"159","Class 3","New Jersey",1651033.09,2011352.16,"New Jersey"
"160","Class 4","New Jersey",6808296.68,7016986.58,"New Jersey"
"161","Unprotected","New Jersey",0,1193472.44,"New Jersey"
"162","Class 4","Delaware",29944.28,29946.37,"Pennsylvania"
"163","Class 1","Maryland",2396.22,2396.22,"Pennsylvania"
