"","RIP_Class","State","OverallProtection_Len_m","Total_Length_m","IN"
"92","Class 1","Arizona",1673389.99,1673389.99,"Arizona"
"93","Class 2","Arizona",20194703.76,23334321.57,"Arizona"
"94","Class 3","Arizona",13165646.43,16156965.68,"Arizona"
"95","Class 4","Arizona",37304243.49,45419852.79,"Arizona"
"96","Unprotected","Arizona",0,140286724.33,"Arizona"
"97","Class 2","Arizona",5068716.61,5441996.48,"Nevada"
"98","Class 3","Arizona",5212781.46,5670377,"Nevada"
"99","Class 4","Arizona",3803732.51,4524276.07,"Nevada"
"100","Unprotected","Arizona",0,13902587.3,"Nevada"
"101","Class 2","California",78599.37,79683.49,"Nevada"
"102","Class 3","California",116477.26,119256.67,"Nevada"
"103","Class 4","California",3866.17,3866.17,"Nevada"
"104","Class 1","Utah",222282.74,222282.74,"Nevada"
"105","Class 2","Utah",927545.94,1219736.43,"Nevada"
"106","Class 3","Utah",426054,522513.86,"Nevada"
"107","Class 4","Utah",1040536.01,1444896.64,"Nevada"
"108","Unprotected","Utah",0,3292515.3,"Nevada"
"109","Class 2","Nevada",6065702.13,6769541.75,"Nevada"
"110","Class 3","Nevada",3951557.48,4608649.72,"Nevada"
"111","Class 4","Nevada",7753814.19,10266928.63,"Nevada"
"112","Unprotected","Nevada",0,8633300.23,"Nevada"
"113","Class 2","Arizona",2019001.93,2697356.29,"California"
"114","Class 3","Arizona",984387.8,1211716.13,"California"
"115","Class 4","Arizona",915452.31,1420493.31,"California"
"116","Unprotected","Arizona",0,9149432.11,"California"
"117","Class 2","Nevada",462771.88,474442.23,"California"
"118","Class 3","Nevada",264828.24,299930.77,"California"
"119","Class 4","Nevada",569204.6,747948.02,"California"
"120","Unprotected","Nevada",0,101855.99,"California"
"121","Class 2","California",1989591.2,2299110.66,"California"
"122","Class 3","California",1738071.73,1896090.55,"California"
"123","Class 4","California",2323135.7,2751290.04,"California"
"124","Unprotected","California",0,942390.12,"California"
