"RIV_ONRW.OTRW" "RIV_National.Wild.Scenic" "RIV_State.Wild.Scenic" "RIV_Eligible.Study.Wild.Scenic" "RIV_ScenicRiverways.NationalRivers" "RIP_Conservation.Area" "RIP_Conservation.Easement" "RIP_Local.Conservation.Area" "RIP_NWFP.Key.Watersheds" "RIP_NWFP.Riparian.Reserves" "RIP_Private.Conservation" "RIP_State.Conservation.Area" "RIP_State.Riparian.Buffers" "RIP_Watershed.Protection.Area" "RIP_Other" "CRI_CriticalHabitat" "INC1_National.Park" "INC1_Research.Natural.Area" "INC1_State.Wilderness" "INC1_Wilderness.Area" "INC1_Wilderness.Study.Area" "INC2_Conservation.Area" "INC2_Conservation.Easement" "INC2_Historic.Or.Cultural.Area" "INC2_Local.Conservation.Area" "INC2_Local.Park" "INC2_National.Lakeshore.Or.Seashore" "INC2_National.Monument" "INC2_National.Recreation.Area" "INC2_National.Wildlife.Refuge" "INC2_Private.Conservation" "INC2_Private.Recreation.Or.Education" "INC2_Recreation.Management.Area" "INC2_Research.Or.Educational.Area" "INC2_Resource.Management.Area" "INC2_State.Conservation.Area" "INC2_State.Park" "INC2_State.Recreation.Area" "INC2_State.Resource.Management.Area" "INC2_Other" "MULT1_Area.Of.Critical.Environmental.Concern" "MULT1_Inventoried.Roadless.Area" "MULT2_Conservation.Area" "MULT2_Conservation.Easement" "MULT2_Forest.Stewardship.Easement" "MULT2_Local.Conservation.Area" "MULT2_Local.Park" "MULT2_Local.Recreation.Area" "MULT2_Local.Resource.Management.Area" "MULT2_Mitigation.Land.Or.Bank" "MULT2_National.Forest" "MULT2_National.Grassland" "MULT2_National.Recreation.Area" "MULT2_National.River" "MULT2_National.River.And.Recreation.Area" "MULT2_National.Scenic.Area" "MULT2_National.Wildlife.Refuge" "MULT2_Private.Conservation" "MULT2_Ranch.Easement" "MULT2_Recreation.Management.Area" "MULT2_Resource.Management.Area" "MULT2_Special.Designation.Area" "MULT2_State.Conservation.Area" "MULT2_State.Park" "MULT2_State.Recreation.Area" "MULT2_State.Resource.Management.Area" "MULT2_Watershed.Protection.Area" "MULT2_Other"
"RIP_Private.Conservation" 20.0975783706681 2.55616429474503 0.176678445229682 0.157227607222745 0 0 0 0 0 0 89.9064090511233 0 60.7165202450806 0 0 9.63463221707135 0 0 0 0.0184782961065906 0 0.29618763575064 10.0181703245048 0 0.166871981067851 0 0 0 0 1.75986319577268 10.5296301098972 0 0 0 0 3.08749635296787 0.0280092067299899 0 0.0367620838331118 0 0 0.0281712970467144 0 0.146691736635653 0.0318345382046877 0.0265017667844523 0.682124679871625 0 0.0474276266735825 0 2.42185625830713 0 0 0 0 0 0 0.463173080040198 0 0 0 0 2.25880960871398 0.0229519888481862 0.0366486206114047 1.83414918792751 0.00743994553765358 0
"RIP_State.Conservation.Area" 3.98654897860705 0 1.15308830625704 0.0497627473057745 0 0 0.393117624967881 0.12057962529274 0 0 0 91.4005147177095 13.5478526620557 0 0 1.61887767411935 0 0.00764034100048255 0.0244490912015442 0 0 0 2.14978084285025 0 0.226415473701142 0 0.354920441876964 0 0 1.09748974585813 0.261455484960592 0 0 0 0.408110657026092 2.05276359176452 0.887933287759369 0 0.0130891105034583 0 0 0.021594016406627 0 0.0683006273122085 0 0.0115761219237574 0.000814299501367219 0 0.00267107975495747 0 0.230351254624417 0 0 0 0 0 0 0 0 0 0.0486569084767573 0 0.841478003860383 0 0 0.626523041659965 0.00786150876628599 0
"RIP_State.Riparian.Buffers" 33.1211068014469 39.3857378350327 34.5054273569151 34.3609038893315 43.1074259423882 34.2505070536801 25.4733658806554 58.9083138173302 15.2395109984308 0 60.7165202450806 13.5478526620557 94.6016073306051 19.0142816133199 11.0662393162393 45.4716648456006 3.71968426248946 3.39042494514809 2.40812117240712 12.2681757188882 17.1794001357429 5.23257678120484 17.0975130912942 14.2356304403365 22.0363314330814 48.4738673937003 0 67.678200543877 10.6563349145673 4.43030770351883 25.82710858015 11.0339164643844 2.79658420453369 13.2835412749957 25.2912920465262 11.5352079752656 17.6300271258403 12.1041039578402 32.7824714328896 29.5824417484124 16.5511311396864 41.9221186713989 14.8678617871076 31.635925686206 41.6118834673269 45.6468115424389 55.4995850778922 70.1354445048838 19.1137241239149 16.8781760664128 51.2838922015359 0.979333773027475 23.2157827304975 0 17.9316277938058 10.8975917883932 0.458739783812286 27.5867436392195 14.8209430446407 14.7899037714009 4.63580347856802 15.075235333028 11.9063229695908 24.2701419438456 1.65841365218129 32.4074832629446 45.3367608114278 6.83081423695758
"RIP_Watershed.Protection.Area" 34.8858906272427 0 0 0 0 0 0 0 0 0 0 0 19.0142816133199 85.1778383809387 0 7.02705612171666 0 0 0 0 0 0 0.119922491746806 0 0.00803789292378355 0 0 0.624372039615329 0 0 1.67590067460887 0 0 0 0 2.31304722262093 0.100904262953926 0 0.36349935409789 0 0 0 0 0.114898808669442 0 0.107650351657815 0 5.14783981627673 0.218889048370891 0 0 0 0 0 0 0 0 0.0513133342902253 0 0 0.00215300703315631 0 0.197215444237118 0 0 0.0930099038323525 0.791230084684943 0
"RIP_Other" 0 0 44.9786324786325 0 0 0 0 0 0 0 0 0 11.0662393162393 0 76.4123931623932 0 0 0 0 0 0 0 0.0576923076923077 0 0 1.06410256410256 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 4.65438034188034 0 0 25.4845085470085 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CRI_CriticalHabitat" 10.6965606091381 11.9214237743452 12.0658873538789 18.2331969290939 0.990758739206767 9.87564790192455 5.45323793146614 8.85005854800937 12.0166926090924 6.95953460658937 9.63463221707135 1.61887767411935 45.4716648456006 7.02705612171666 0 95.71241590975 3.65520249218046 0.570555170274118 0.178640967277734 8.36953558974271 4.26762244582421 1.14207513890325 3.01047847587219 0 4.0398645306279 0.611733085832512 0.0780379041248606 1.11640666574463 5.66297840003684 0.888790640446505 6.6899793277737 4.95135180380012 0.8911189317876 0 1.10834643193964 2.88312797911783 1.53683939662922 0.649210477609905 0.544241237395723 5.5215833559833 1.73475279883733 6.74156031258787 11.1546349619171 4.33507861703499 3.16131040142432 2.25270730443921 9.16888744294821 3.27722725445214 0.387935623106775 5.95988232686534 18.1562520029733 0.0594472502552334 13.3297526508524 45.0987845260048 29.190969446279 62.6892222660876 0 4.4757482947159 1.32513975532691 2.07383860546274 37.3006713370269 1.4445835241439 1.59651450953466 6.47377341325723 0.25771169011251 1.95190962455184 12.9925706085709 9.93435574664244
"INC1_National.Park" 7.58976896842574 14.6345930765004 0.584370730226203 16.5899724777287 0.214260067699912 0 0 0 0.871676869985824 6.87241655219713 0 0 3.71968426248946 0 0 3.65520249218046 99.6535556840654 0 0 76.5531914588769 16.2399007448481 0.537841917780664 0.670650435728789 1.55439538130258 0.0249873553273442 0 0 0.0428529819351872 2.76897480771888 0.0382261758294976 0.13760663880751 0.00368293295387963 0 0 0 0.0906040104884799 0.237880132790779 0 0.21107238723645 0.087049986410022 0.157038706084975 0.119048444578821 0.364471484302434 0.0166539492558074 0.0104215929006593 0.0969038273458786 0.0392667194749349 0.00542771326537852 0 0 0.300521626619881 0.463729750729561 1.03348822533918 0 0 0 0 8.81365108643988e-05 0.164473790812606 0 0.0335777532122354 0 0.0725124573897039 0 0 0.153514962495147 0.0827134563955385 2.11338149904703
"INC1_Research.Natural.Area" 0.149955591244783 0.104786412137582 0.207291552603083 0.542942657955251 0 0.833821607247487 0.00408488657851218 0 0.229096982574899 0.458747510879131 0 0.00764034100048255 3.39042494514809 0 0 0.570555170274118 0 99.1478223487568 0 0 0 0.0468750633686576 0.0612455540549857 0.260622912826876 0 0 1.14016418364244 1.19487433741732 0 92.9113761441845 0.00045647899630374 0 0.0118414242832005 1.72141514271065 0.0730116315624018 0.0508596845558922 0 0 0 0 0.00427054057013542 4.20903038856647 0 0.00195896377571312 0 0 0.0157293199049451 0 0 0 1.54835890385403 0.0470279988796834 0 0 0 0 0 0 0 0 0 0 0.00433036058286998 0.0311553655770597 0 0.0103782652601866 0 0
"INC1_State.Wilderness" 80.32117500516 0.00938179729255764 17.0714070242238 0.00837144989182066 0 0 0.000579790353079148 0 0.13452053964098 0 0 0.0244490912015442 2.40812117240712 0 0 0.178640967277734 0 0 94.7728363771252 0 0 0.0106014309405901 0.292059679777608 0 0.139586069924577 0 0 0.00117055963142527 0 0 0.838638859981727 0 0 0 0 2.99053304485509 0 0 0.822332336961436 0 0 0 0 0.0124186129084871 0.55030322419117 0 0 0 0.832834925335579 0 0 0 0 0 0 0 0 0.0417326378942928 0 0 0 0 0.0391928190280169 0 0 0.323247660684929 0.0109146386348186 0
"INC1_Wilderness.Area" 20.6967123719252 29.080499419989 1.68331562167906 27.0233758238575 1.60662488454615 10.3723351512147 0.0118593481311644 0 31.0586688220455 30.4129814700582 0.0184782961065906 0 12.2681757188882 0 0 8.36953558974271 76.5531914588769 0 0 99.3977687739938 0 43.5463389099729 0.431062750774791 0.665818491213343 0.0852760429307479 0 23.5165703861356 66.7318090183927 15.9163864965689 24.9290930766037 0.474485524650301 0 0.0269537314977746 0 0 1.09313882395964 0.0850375625454613 0.0735621211088057 0.144216435744347 8.76864915618591 4.90780805638814 2.06122941823 0.378051272524615 0.0578045957758896 0.00842907613987259 0.00773622411674835 0.161225529025687 0 0 0 34.9744331877043 0.187732533451388 7.84505062673895 27.7283921242044 0 0 0 0.0085366506237232 0.0525155958843069 0 0.105094006807126 38.0366763344019 0.10906811758806 0.0129606320800568 0.00787982349527896 0.649744840218955 0.0389876720370491 4.30681264128363
