"","ProtectedMilesCONUS","ProtectedMilesUS","ProtectedPerCONUS","ProtectedPerUS"
"Unprotected",2292015.88739408,2792795.10126989,69.6940666191171,63.7961024342943
"Class 4",612924.266477251,738599.548553185,18.6373859340507,16.8719045790352
"Class 3",195527.20292769,437502.797512906,5.94545874731498,9.99392088332313
"Class 2",152320.914776797,368667.071119293,4.63167120277195,8.42149938697017
"Class 1",35893.2454894789,40124.7050302532,1.09141749674529,0.916572716377198
